     1       1.06644249
     2       0.68639439
     3       0.58448124
     4       0.53830034
     5       0.51719385
     6       0.50767702
     7       0.50343704
     8       0.50184482
     9       0.50591207
    10       0.57807302
    11       1.07454264
    12       1.45575655
    13       1.49710548
    14       1.49980855
    15       1.49997890
    16       1.49998879
    17       1.49998927
    18       1.49998879
    19       1.49999046
    20       1.49999046
    21       1.49998951
    22       1.49999058
    23       1.49998999
    24       1.49998903
    25       1.49998987
    26       1.49998951
    27       1.49998975
    28       1.49998951
    29       1.49998975
    30       1.49998903
    31       1.49998987
    32       1.49998951
    33       1.49998975
    34       1.49998951
    35       1.49998975
    36       1.49998903
    37       1.49998987
    38       1.49998951
    39       1.49998975
    40       1.49998951
    41       1.49998975
    42       1.49998903
    43       1.49998987
    44       1.49998951
    45       1.49998975
    46       1.49998951
    47       1.49998975
    48       1.49998903
    49       1.49998987
    50       1.49998951
    51       1.49998975
    52       1.49998951
    53       1.49998975
    54       1.49998903
    55       1.49998987
    56       1.49998951
    57       1.49998975
    58       1.49998951
    59       1.49998975
    60       1.49998903
    61       1.49998987
    62       1.49998951
    63       1.49998975
    64       1.49998951
    65       1.49998975
    66       1.49998903
    67       1.49998987
    68       1.49998951
    69       1.49998975
    70       1.49998951
    71       1.49998975
    72       1.49998903
    73       1.49998987
    74       1.49998951
    75       1.49998975
    76       1.49998951
    77       1.49998975
    78       1.49998903
    79       1.49998987
    80       1.49998951
    81       1.49998975
    82       1.49998951
    83       1.49998975
    84       1.49998903
    85       1.49998987
    86       1.49998951
    87       1.49998975
    88       1.49998951
    89       1.49998975
    90       1.49998903
    91       1.49998987
    92       1.49998951
    93       1.49998975
    94       1.49998951
    95       1.49998975
    96       1.49998903
    97       1.49998987
    98       1.49998951
    99       1.49998975
   100       1.49998951
