## SHO Potential w/o any bump
##k                   EV1             EV2            EV3            EV4            EV5
7.19999743       -0.00000000    0.00000000     -0.00000000    -0.00000000    -0.00000000
7.29999733       -0.00000000    0.00000000     -0.00000000    -0.00000000    -0.00000000
7.39999723       -0.00000000    0.00000000     -0.00000000    -0.00000000    -0.00000000
7.49999714       -0.00000000    0.00000000     -0.00000000    -0.00000000    -0.00000000
7.59999704       -0.00000000    0.00000000     -0.00000000    -0.00000000    -0.00000000
7.69999695       -0.00000000    0.00000000     -0.00000000    -0.00000000    -0.00000000
7.79999685       -0.00000000    0.00000000     -0.00000000    -0.00000000    -0.00000000
7.89999676       -0.00000000    0.00000000     -0.00000000    -0.00000000    -0.00000000
7.99999666       -0.00000000    0.00000000     -0.00000000    -0.00000000    -0.00000000
8.09999657       -0.00000000    0.00000000     -0.00000000    -0.00000000    -0.00000000
8.19999695       -0.00000000    0.00000000     -0.00000000    -0.00000000    -0.00000000
8.29999733       -0.00000000    0.00000000     -0.00000000    -0.00000000    -0.00000000
8.39999771       -0.00000000    0.00000000     -0.00000000    -0.00000000    -0.00000000
8.49999809       -0.00000000    0.00000000     -0.00000000    -0.00000000    -0.00000000
8.59999847       0.00000000     0.00000000     -0.00000000    -0.00000000    -0.00000000
8.69999886       0.00000000     0.00000000     -0.00000000    -0.00000000    -0.00000000
8.79999924       0.00000000     0.00000000     -0.00000000    -0.00000000    -0.00000000
8.89999962       0.00000000     -0.00000000    -0.00000000    -0.00000000    -0.00000000
9.00000000       0.00000000     -0.00000000    -0.00000000    -0.00000000    -0.00000000
9.10000038       -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000
9.20000076       -0.00000000    0.00000000     0.00000000     0.00000000     0.00000000
9.30000114       -0.00000000    0.00000000     0.00000000     0.00000000     0.00000000
9.40000153       0.00000000     0.00000000     -0.00000000    0.00000000     0.00000000
9.50000191       0.00000000     -0.00000000    -0.00000000    -0.00000000    -0.00000000
9.60000229       0.00000000     -0.00000000    -0.00000000    -0.00000000    -0.00000000
9.70000267       -0.00000000    -0.00000000    0.00000000     -0.00000000    -0.00000000
9.80000305       -0.00000000    -0.00000000    0.00000000     0.00000000     0.00000000
9.90000343       -0.00000000    -0.00000000    0.00000000     0.00000000     0.00000000
10.0000038       -0.00000000    -0.00000000    0.00000000     0.00000000     0.00000000
